"Time","Magazine Luiza","MAGALU"
"2021-12-26",46,15
"2022-01-02",100,32
"2022-01-09",66,23
"2022-01-16",51,19
"2022-01-23",51,18
"2022-01-30",55,19
"2022-02-06",55,19
"2022-02-13",53,19
"2022-02-20",56,19
"2022-02-27",57,19
"2022-03-06",51,19
"2022-03-13",57,22
"2022-03-20",52,18
"2022-03-27",50,18
"2022-04-03",50,17
"2022-04-10",46,16
"2022-04-17",48,16
"2022-04-24",47,16
"2022-05-01",55,19
"2022-05-08",52,18
"2022-05-15",49,18
"2022-05-22",44,16
"2022-05-29",49,16
"2022-06-05",51,19
"2022-06-12",49,20
"2022-06-19",47,18
"2022-06-26",52,18
"2022-07-03",48,19
"2022-07-10",48,18
"2022-07-17",53,20
"2022-07-24",48,18
"2022-07-31",48,18
"2022-08-07",48,18
"2022-08-14",45,19
"2022-08-21",42,17
"2022-08-28",39,15
"2022-09-04",42,16
"2022-09-11",46,18
"2022-09-18",44,18
"2022-09-25",42,18
"2022-10-02",37,16
"2022-10-09",48,18
"2022-10-16",44,18
"2022-10-23",41,16
"2022-10-30",42,17
"2022-11-06",55,23
"2022-11-13",60,23
"2022-11-20",81,33
"2022-11-27",59,25
"2022-12-04",52,21
"2022-12-11",61,22
"2022-12-18",56,21
"2022-12-25",48,18
"2023-01-01",88,31
