"Region","Magazine Luiza","MAGALU"
"State of Bahia",75,25
"State of Rio Grande do Sul",75,25
"State of Santa Catarina",75,25
"State of Minas Gerais",74,26
"State of Pernambuco",74,26
"State of Alagoas",73,27
"State of Paraíba",73,27
"State of Sergipe",73,27
"State of São Paulo",72,28
"State of Goiás",71,29
"State of Mato Grosso do Sul",71,29
"State of Piauí",71,29
"State of Paraná",71,29
"State of Rio Grande do Norte",71,29
"State of Tocantins",71,29
"State of Maranhão",70,30
"State of Ceará",68,32
"State of Espírito Santo",68,32
"State of Mato Grosso",68,32
"State of Rondônia",67,33
"State of Acre",63,37
"State of Amazonas",62,38
"State of Amapá",62,38
"State of Pará",62,38
"Federal District",61,39
"State of Rio de Janeiro",61,39
"State of Roraima",60,40
