"Time","magazine luiza","magalu"
"2023-12-31",100,36
"2024-01-07",60,24
"2024-01-14",50,20
"2024-01-21",46,18
"2024-01-28",44,18
"2024-02-04",45,18
"2024-02-11",53,18
"2024-02-18",42,17
"2024-02-25",43,16
"2024-03-03",44,17
"2024-03-10",48,20
"2024-03-17",42,18
"2024-03-24",41,16
"2024-03-31",46,16
"2024-04-07",43,17
"2024-04-14",40,16
"2024-04-21",39,16
"2024-04-28",43,16
"2024-05-05",50,18
"2024-05-12",41,16
"2024-05-19",39,16
"2024-05-26",40,16
"2024-06-02",38,16
"2024-06-09",45,19
"2024-06-16",43,16
"2024-06-23",39,16
"2024-06-30",41,16
"2024-07-07",48,18
"2024-07-14",43,17
"2024-07-21",39,16
"2024-07-28",36,14
"2024-08-04",41,18
"2024-08-11",38,16
"2024-08-18",36,14
"2024-08-25",35,14
"2024-09-01",36,17
"2024-09-08",43,17
"2024-09-15",37,13
"2024-09-22",35,14
"2024-09-29",35,15
"2024-10-06",38,16
"2024-10-13",33,14
"2024-10-20",31,13
"2024-10-27",35,14
"2024-11-03",39,18
"2024-11-10",38,19
"2024-11-17",40,19
"2024-11-24",60,31
"2024-12-01",39,19
"2024-12-08",36,19
"2024-12-15",37,18
"2024-12-22",33,15
"2024-12-29",63,25
