"Region","magazine luiza","magalu"
"State of Rio Grande do Sul",63,37
"State of Santa Catarina",63,37
"State of Minas Gerais",61,39
"State of Bahia",59,41
"State of Pernambuco",59,41
"State of Paraná",59,41
"State of Sergipe",58,42
"State of Acre",57,43
"State of Alagoas",56,44
"State of Mato Grosso do Sul",56,44
"State of Paraíba",56,44
"State of Roraima",56,44
"State of São Paulo",56,44
"State of Goiás",55,45
"State of Amazonas",54,46
"State of Amapá",54,46
"State of Piauí",54,46
"State of Tocantins",54,46
"State of Maranhão",53,47
"State of Rio Grande do Norte",52,48
"State of Rondônia",51,49
"State of Ceará",50,50
"State of Mato Grosso",48,52
"State of Pará",44,56
"State of Espírito Santo",43,57
"State of Rio de Janeiro",43,57
"Federal District",42,58
