"Region","magazine luiza","magalu"
"State of Minas Gerais",75,25
"State of Pernambuco",75,25
"State of Santa Catarina",75,25
"State of Alagoas",74,26
"State of Bahia",74,26
"State of Rio Grande do Sul",74,26
"State of Paraíba",73,27
"State of Mato Grosso do Sul",72,28
"State of Rio Grande do Norte",72,28
"State of Sergipe",72,28
"State of Paraná",71,29
"State of Goiás",70,30
"State of São Paulo",70,30
"State of Piauí",69,31
"State of Tocantins",69,31
"State of Maranhão",68,32
"State of Ceará",67,33
"State of Mato Grosso",64,36
"State of Espírito Santo",63,37
"State of Pará",63,37
"State of Roraima",63,37
"State of Acre",62,38
"State of Rio de Janeiro",61,39
"State of Amapá",60,40
"State of Rondônia",60,40
"Federal District",58,42
"State of Amazonas",57,43
