"Time","magazine luiza","magalu"
"2024-12-29",100,39
"2025-01-05",67,30
"2025-01-12",48,23
"2025-01-19",47,23
"2025-01-26",42,21
"2025-02-02",48,22
"2025-02-09",46,22
"2025-02-16",46,21
"2025-02-23",46,21
"2025-03-02",49,22
"2025-03-09",50,22
"2025-03-16",44,21
"2025-03-23",40,18
"2025-03-30",44,20
"2025-04-06",54,21
"2025-04-13",41,19
"2025-04-20",45,19
"2025-04-27",48,20
"2025-05-04",52,24
"2025-05-11",39,20
"2025-05-18",38,19
"2025-05-25",36,19
"2025-06-01",43,21
"2025-06-08",44,21
"2025-06-15",35,19
"2025-06-22",34,19
"2025-06-29",40,21
"2025-07-06",42,24
"2025-07-13",39,21
"2025-07-20",35,20
"2025-07-27",35,20
"2025-08-03",42,22
"2025-08-10",36,20
"2025-08-17",37,19
"2025-08-24",34,19
"2025-08-31",40,21
"2025-09-07",39,22
"2025-09-14",36,21
"2025-09-21",35,20
"2025-09-28",33,19
"2025-10-05",42,23
"2025-10-12",35,19
"2025-10-19",33,18
"2025-10-26",36,19
"2025-11-02",42,24
"2025-11-09",47,28
"2025-11-16",44,25
"2025-11-23",61,42
"2025-11-30",45,29
"2025-12-07",41,25
"2025-12-14",43,25
"2025-12-21",42,23
"2025-12-28",39,20
